size,time,eval
5,1,9.70797371864319
6,1,11.6532638072968
7,1,13.9393303990364
8,1,15.6332409977913
9,2,17.2348980903625
10,2,16.6163556575775
11,2,21.7988360524178
12,3,21.8784542679787
13,5,24.4886788129807
14,6,25.5912789702415
15,8,24.5432966351509
16,10,26.0799597501755
17,13,27.3254321813583
18,17,30.415680706501
19,23,31.0324270129204
20,30,30.8701686263084
21,39,34.4951320290565
22,47,34.2517162561417
23,61,38.453949034214
24,77,39.2375972270966
25,97,41.7812794446945
26,117,40.2050768136978
27,144,45.728378713131
28,172,42.9360148906708
29,201,44.7987882494926
30,248,46.7716954946518
31,299,49.9360711574554
32,363,52.4290645122528
33,423,51.3237564563751
34,517,57.4654588699341
35,616,56.9578256011009
36,728,56.9285121560097
37,850,58.0464265942574
38,975,57.0965952277184
39,1125,59.1252872347832
40,1278,62.307382941246
41,1497,63.8429644703865
42,1723,65.9514259696007
43,1928,64.5148159265518
44,2197,70.1943606138229
45,2521,69.2467309236526
46,2828,69.019768178463
47,3223,70.2240099906921
48,3671,72.9521217346191
49,4185,76.9967393875122
50,4665,76.4267240762711
